weight_scheme,gene,guide_count,mean_final_score,best_final_score,excellent_count,good_count,moderate_count,poor_count
0/100,blaKPC,136,100.0,100.0,136,0,0,0
0/100,blaNDM1,157,100.0,100.0,157,0,0,0
0/100,mcr1,5962,97.3,100.0,5724,13,53,172
0/100,mecA,118,100.0,100.0,118,0,0,0
10/90,blaKPC,136,97.27,98.4,136,0,0,0
10/90,blaNDM1,157,97.32,98.4,157,0,0,0
10/90,mcr1,5962,94.35,98.4,5710,27,55,170
10/90,mecA,118,95.46,98.4,118,0,0,0
100/0,blaKPC,136,72.68,84.0,0,106,23,7
100/0,blaNDM1,157,73.21,84.0,0,119,34,4
100/0,mcr1,5962,67.77,84.0,0,3534,1659,769
100/0,mecA,118,54.58,84.0,0,25,49,44
20/80,blaKPC,136,94.54,96.8,136,0,0,0
20/80,blaNDM1,157,94.64,96.8,156,1,0,0
20/80,mcr1,5962,91.39,96.8,5632,108,56,166
20/80,mecA,118,90.92,96.8,109,9,0,0
30/70,blaKPC,136,91.81,95.2,129,7,0,0
30/70,blaNDM1,157,91.96,95.2,153,4,0,0
30/70,mcr1,5962,88.44,95.2,4962,782,62,156
30/70,mecA,118,86.38,95.2,74,44,0,0
40/60,blaKPC,136,89.07,93.6,118,18,0,0
40/60,blaNDM1,157,89.28,93.6,137,19,1,0
40/60,mcr1,5962,85.49,93.6,4143,1524,150,145
40/60,mecA,118,81.83,93.6,48,61,9,0
50/50,blaKPC,136,86.34,92.0,106,27,3,0
50/50,blaNDM1,157,86.61,92.0,119,37,1,0
50/50,mcr1,5962,82.54,92.0,3346,2079,413,124
50/50,mecA,118,77.29,92.0,25,70,23,0
60/40,blaKPC,136,83.61,90.4,85,44,7,0
60/40,blaNDM1,157,83.93,90.4,100,53,4,0
60/40,mcr1,5962,79.58,90.4,2641,2363,886,72
60/40,mecA,118,72.75,90.4,20,54,44,0
70/30,blaKPC,136,80.88,88.8,37,83,16,0
70/30,blaNDM1,157,81.25,88.8,50,95,11,1
70/30,mcr1,5962,76.63,88.8,1046,3593,1165,158
70/30,mecA,118,68.21,88.8,8,50,47,13
80/20,blaKPC,136,78.15,87.2,20,98,15,3
80/20,blaNDM1,157,78.57,87.2,17,120,19,1
80/20,mcr1,5962,73.68,87.2,398,3804,1486,274
80/20,mecA,118,63.67,87.2,2,46,48,22
90/10,blaKPC,136,75.42,85.6,4,106,23,3
90/10,blaNDM1,157,75.89,85.6,1,130,24,2
90/10,mcr1,5962,70.72,85.6,121,3713,1630,498
90/10,mecA,118,59.13,85.6,1,31,55,31
